INPUT:text,OUTPUT:disgust_rage,OUTPUT:fear_surprise,OUTPUT:shame_excitement,OUTPUT:enjoyment_distress,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id
,,,,,,
"Переходила через переезд в наушниках. Смотрю — люди ходят, ну и я пошла. За переездом стоял мужчина и что-то говорил мне, но я его не слышала. Да и слушать особо не хотела. Ровно через две секунды после того, как я перешла пути, промчался поезд... Такого ужаса я еще не испытывала никогда...",0,-5,-1,0,0000c85e32--5eaeb1f1374b1b71ae02fd7b,e3e01ada610f3401af122856a4c6221a
,,,,,,
"Захожу в маршрутку, одно место, сел. На остановке заходит бабуля, двери закрываются, автобус трогается. И тут, резкий удар по тормозам, бабуля начинает падать и в этот момент все моё нутро и выучка сработала, я успеваю схватить её за локоть, подтянуть на себя, попутно роняя её на своё место. Краем глаза замечаю, как заваливается в проход маленькая девочка, я уже падая на какого-то мужика бросаю на вскидку свой тактический рюкзак в этот проход (у меня там был свитер и штаны рабочие) и ребёнок аккурат падает на рюкзак. Я же на мужика. Секунды молчания, тишина в салоне, и просто вопрос от кондуктора ""ты что, ниндзя?""   ",0,-1,5,-3,0000c85e32--5eaeb1f153fcae1d62be48b1,3ef969160bed711f056d274da4a98af5
,,,,,,
"В подростковом возрасте я спала с чуть приоткрытыми глазами, да ещё и порой разговаривала во все довольно понятно и чётко. В детском лагере все девчачьи комнаты просыпались обмазанные пастой, кроме нашей. На королевскую ночь, когда возле костра делились впечатлениями о прошедшей смене, мальчики наперебой стали рассказывать о том, что я на протяжении каждой ночи глаз не сомкнула",0,0,4,-4,0000c85e32--5eaeb1f154ccdd0881cea54c,28d1bbbcc890a4754807bec4026fbafe
,,,,,,
"Моя суперспособность заключается в том, что я всегда, из месяца в месяц, трачу ровно столько денег, сколько зарабатываю. Без долгов и напрягов. Херня в том, что это может быть каких-то 100 евро, а в следующем месяце - 1-2 тысячи. И всегда, бл...ь, выхожу в ноль. Бесит! Девушка, 29 лет, третий год коплю на новые обои. В туалет.",4,3,-2,3,0000c85e32--5eaeb1f15bcbf14256905fe0,1fa780cfad1365b0e4e955aa41100c7b
,,,,,,
"Моей бабушке 74 года, она все время жалуется на старческие боли. Иногда даже говорит ""когда я умру..."" Я все время злюсь и начинаю менять тему. А сама в голове уже придумала как обустроюсь в ее комнате, куда кровать подвину, что выброшу, когда буду жить там. Ведь у меня никогда не было своей комнаты. Стыд.   ",5,0,-5,-4,0000c85e32--5eaeb1f16d29ac6d6779dbc4,e7b14666d4771de9bbce3598eb05f9e0
,,,,,,
"В студенческие годы работала в кофейне. Гости частенько доставали, как мне казалось, глупыми вопросами типа ""почему так дорого"", ""из чего сделано тесто для булочки"" и тд. Тут приходит мужчина и заказывает кофе и улитку с заварным кремом, подходит через минуту и спрашивает ""Почему в улитке так мало крема?"". Я была не в духе и сказала ""Просто сегодня не ваш день"", а он в ответ ""У меня сегодня день рождения""... До сих пор стыдно   ",1,1,-3,1,0000c85e32--5eaeb1f24ca08f3784300054,9eae50ef632436cdd4be5934f8fb7d9e
,,,,,,
"Надоело! Накипело! Всегда трепетно отношусь к подарков близким: слушаю, о чём они говорят, чего хотят, знаю их вкусы и предпочтения. За подарками с октября начинаю походы, денег не жалею. Люблю дарить желаемое и нужное. Только есть одно большущее ""но"". Ни один человек не заморачивается над моим подарком. Вот и идите теперь все в жопу! Засуньте себе туда же синтетические носки, наборы мыло+шампунь и китайские статуэтки! Теперь только за откровенной фигнёй буду ходить в магазин за неделю до праздника!   ",5,1,0,3,0000c85e32--5eaeb1f4f234df3102e512f2,ecf2f1d5973683b5171249a0463d594c
,,,,,,
"Кто-то уходит в запой, когда много стресса или проблем. Я же ухожу в лес или запираюсь дома, игнорируя всех и каждого. Одиночество — это моё лекарство.",0,0,3,2,0000c85e32--5eaeb1f5f5224e5bff33ec5b,3e58ff9879333efb981f792b2d109bab
,,,,,,
"В Пекине 12 лет назад. Китайцы рассматривают, очень откровенно, на улице, в кафе, гостишке.. Но! Один подошел, с улыбкой так, вырвал волосину, сосредоточенно скрутил пальцем у себя на ладони в кружок, достал портмоне и вложил под прозрачное отделение.охренеть думаю, дебил или маньяк? Оказывается это у них примета какая то, волос блондинки в кошелек и будет тебе счастье, что то такое..",-2,0,2,-4,0000c85e32--5eaeb1f74e83dd1682ad8c6b,90394f3dbc2d94f9a9513f987958ac2e
,,,,,,
"Дико бесят люди, которые переключают песню, не дав её дослушать. Прям до дрожи. Певец старается, поёт свой последний припев, а он его обрывает! Пусть сидит в наушниках и переключает себе, но если слушает не один, нужно дать дослушать!",5,0,0,0,0000c85e32--5eaeb1f78200d44f2748853e,4e279e64755278ec62f0f0fc4a166f08
,,,,,,
"Мои друзья в шутку называют меня музыкальной шлюхой - я любитель музыки разных жанров, от попсы и классики до тяжелого рока. И как же меня бесят люди, которые ставят свой любимый жанр превыше всего, а остальную музыку откровенно презирают. Я считаю, что у каждого человека свои индивидуальные вкусы, и что нужно их уважать (причем, это касается не только музыки). А за фразу: ""фууу, как ты можешь это слушать, когда есть Rammstein/System of a Down/Metallica и т. д."" я готов просто убить.    ",4,0,0,0,0000c85e32--5eaeb1f7ee8f5f1eb537598e,5ae1fd1579fcf568e9b817c23f23424a
,,,,,,
"Недавно переехала из квартиры в дом. А я с детства хотела попробовать дождь)) И вот нынче,когда пошел ливень,взяла кружку и поставила под водосточную трубу. Выпила всю кружку залпом. Я была счастлива))",0,4,4,-5,0000c85e32--5eaeb1f84e83dd1682ad8c71,a42f3efeaacd488ee87f05a614d30b84
,,,,,,
"Самое страшное в детях — это внезапно увидеть их ночью. У меня их двое, но каждый раз, натыкаясь на кого-то из них, я сначала вскрикиваю и стараюсь не обосраться от страха, а потом уже вспоминаю, что эти лохматые полурослики в пижамах — мои собственные дети, а вовсе не призраки из «Сияния».",1,-4,0,0,0000c85e32--5eaeb1f86db6ac2ecd451070,dd5e0be0abe7429579a1bafdfb5af516
,,,,,,
"Я амбидекстр (умею писать/работать и левой рукой, и правой). Самый кайф — сидеть за компом и жрать. Нет, серьёзно, бедные правши/левши, им же приходится отрываться от мышки! А ещё мне доступны функции жрать —рисовать, рисовать — писать и прочее. Подруги завидуют))",0,0,4,-3,0000c85e32--5eaeb1f88ca30b697585d2ce,287f9080e8c987bfbfbd7e85b1976dc9
,,,,,,
"Так случилось, что приходится два раза в год ложиться в больницу на две недели. Те, кто лежал, знает, что делать там в течение дня особо нечего: поставили капельницу, сходила на процедуры и предоставлена сама себе. Вот я и беру с собой книги. И как же бесят те, кто просит книги. Нет, я не жадина, наоборот, я рада нести в массы прекрасные произведения, но когда эти массы начинают говорить гадости о книгах и авторах, это уже чересчур. Привыкли читать дешёвые детективы и говорят, что остальное чтиво — скукотища!",2,1,-2,3,0000c85e32--5eaeb1f8f998ae6dd3224eae,94926a11c0e6ad27fe1f4a788a94a81f
,,,,,,
"Мне 32 года, я замужем и у меня 2 любовника, но это не спасает меня от одиночества и от поиска своей второй половинки",0,2,0,5,0000c85e32--5eaeb1f9213e6d313b94e94c,c37d3f402e8f25709eab50fe000d7fd1
,,,,,,
"Работа серьёзная,в силу обеспеченности,живу в столице в своей квартире,никогда за студенческие годы не бывала в общежитии,хватало рассказов.И вот меня отправляют в командировку на 2 месяца в другой город и так получилось,что поселили не в гостиницу,а хорошее студенческое общежитие.Ребята,так за 25 лет я не тусила никогда,мне снова 17 и я узнала много нового,совершенно далекого от моей специальности.Я впервые готовила в компании 10 человек какую-то гадость,у меня воруют продукты.Я счастлива!!",1,1,5,-5,0000c85e32--5eaeb1f96db6ac2ecd451075,595d377cac6716976f086d76dec60c71
,,,,,,
"В студенческие годы раскрасила одногруппнику ухо чёрным маркером, пока тот спал на паре. Все поржали и ему ничего не сказали. Кто же знал, что он после пары пойдёт не домой, а на собеседование. До сих пор и смешно, и стыдно!",0,0,-3,-3,0000c85e32--5eaeb1fa374b1b71ae02fdb1,b7954d293de7714a377a21ea30875dfd
,,,,,,
"Между нашими станциями 180 км густых лесов, связь одна — рабочий поезд в два вагона. Выехали в буран, а солярку пропили, стояли сутки, играли в карты, рассказывали страшилки, пили, курили, байки травили, но говно не жгли, у нас был уголь! Приехал второй тепловоз, забрали нас и обогрели, по телевизору показывали как героев! Все, кто был в этом вагоне, очень тесно общаются между собой уже 10 лет, и только недавно мне сказали, что за окном температура была -58 градусов. Никто не верил, что мы выживем.",0,5,1,-1,0000c85e32--5eaeb1fa53fcae1d62be48ea,60039202ca5808fbff709e13ddcacdcc
,,,,,,
"Замужем, но одинока. Лежим в одной кровати, а я мечтаю влюбиться, как в последний раз. Не в него. Хочу наряжаться, откровенничать и быть лучше, но... не для него. Другого никого нет. Но не для него...",0,0,2,4,0000c85e32--5eaeb1fa8200d44f27488568,60a8048786ff6c337a6bc8b09dd3592e
,,,,,,
"У моей сестры был план откормить кота до 40 кг,чтобы им дали 4-х комнатную квартиру..План конечно странный,но теперь эта мысль не дает мне покоя",0,1,2,0,0000c85e32--5eaeb1fb6db6ac2ecd451095,d2409c446ce0a134e6850bcbbd4b9c8c
,,,,,,
"Вчера, при покупке постельных принадлежностей, продавец насмешливо заметила: «А что вам скажет девушка, когда вы придете домой с одной подушкой???” И тут впервые за 29 лет я понял, что одинок.",0,-3,3,3,0000c85e32--5eaeb1fbeb24f779400b6758,3cc310043945f0eb2e21a2948f72f068
,,,,,,
"Знакомая работает учительницей в школе. На уроке у шестого класса один мальчик постоянно дрочит под партой, потом облизывает руку. Не знает, как рассказать его родителям, боится, что не поверят.",1,-5,-3,0,0000c85e32--5eaeb1fc54ccdd0881cea597,763f3cde4a2822f6f4ad147ccd1d443c
,,,,,,
"У моей мамы очень хорошее обоняние, и даже не очень сильные запахи вызывают у неё головную боль. Из-за этого мы даже специи в еду никогда не добавляли. Когда я переехала, то наконец исполнила свою детскую мечту: купила себе шесть ароматических свечек и целый вечер просто сидела и наслаждалась их запахом. А уж эта божественная отдушка стирального порошка... И как вкусно пахнут простыни после стирки! Аромат цитрусовых, наполняющий ванную во время мытья! Как будто целый новый мир передо мной открылся.",0,0,3,-5,0000c85e32--5eaeb1fc8ca30b697585d2ef,6d82dd8da70cd963bf64dce2f4eead7a
,,,,,,
"#Подслушано_пиздец@overhearЯ парень. У меня сильные проблемы с кожей-все лицо покрыты огромными прыщами. Но недавно я нашел в этом плюс. Я выдавливаю прыщи и все что остается на руках использую в качестве смазки, когда дрочу. Мне стыдно, но это вошло в привычку.",-5,5,-4,0,0000c85e32--5eaeb1fd4ca08f3784300100,d817ce149f2ffdb090647643996831c6
,,,,,,
"Когда были маленькие, а маме нужно было на работу, она нас закрывала дома. Так мы звонили деду и он нас вытаскивал через форточку на кухне)))",0,2,2,-2,0000c85e32--5eaeb1fd8200d44f27488583,8751b0881ceb7f920867b13c8bf968a3
,,,,,,
"После восьми часов в самолете, четырех часов в автобусе и 40 минут в маршрутке, вернулся в свой родной дом. Выключил телефон, снял надоедливую грязную и потную одежду, залез под кипящий душ и после него лег в накрахмаленную кроватку... Счастье!",0,2,4,-5,0000c85e32--5eaeb1fd8ba97d6d5cad7211,654b116c6ed13d7715bf90b4d88b2385
,,,,,,
"Питерская зарисовка: стол с лавками на улице, на нем головой лежит мужчина в пиджаке, бухой в щи, изо рта тянется через весь стол что-то вязкое, зеленоватое, больше на гигантскую сопель похоже, чем на блевотину. Он резко всхрапывает, вздыхает, и эта мега сопля втягивается ему обратно в рот через весь стол. Спасибо, Питер, приеду ещё.",-5,0,0,0,0000c85e32--5eaeb1fdad97062fb1f2e0c8,aafcd1efff6a179a21672b3463213721
,,,,,,
"Меня бросила невеста, потому что я отказался быть на нашей свадьбе в красном костюме. И не просто в красном, а в полоску, блин. Видите ли ""что мы как лохи? Все женятся в черных костюмах и белых платьях"". А то, что я буду в красном костюме, она в салатовом платье - это мы не как лохи?! А то, что вместо того, чтобы ехать в ЗАГС на моём новеньком Land Roverе, она попросила желтую ""шестёрку"" 82 года - это мы тоже не как лохи. И отмечать свадьбу мы должны были не в лучшем ресторане Петербурга, а в каком-то поселке в Ленобласти. И тут мы тоже не лохи. И кольца у нас должны были быть не золотые, и даже не платиновые, и даже не серебряные. Они должны были быть из АЛЮМИНИЯ! И тут мы тоже не лохи! Короче она нормальная. Работает в хорошей компании. Мы оба отлично зарабатываем. Она не тупая... НО ЧТО ЭТО, БЛИН, ЗА ХЕРНЯ?!   ",4,0,0,1,0000c85e32--5eaeb1fe6db6ac2ecd4510bf,53da09a371eaaee51c5595b9a8c1a387
,,,,,,
"От атаки террористов меня спасла лень. Живу в центре Барселоны и вместо того, чтобы пойти по делам после работы, пошла домой отдохнуть немного. Только задремала - просыпаюсь от мигалок полиции и скорой помощи. Выглядываю в окно - улицы оцеплены, нет людей, и это в высокий сезон! В Августе! Никогда бы не подумала, что террористы доберутся до Барселоны. За последние годы единственной катастрофой была лошадь, которая исдохла на Рамбле.",1,-2,0,3,0000c85e32--5eaeb1fefa4ad71590f13331,5757dc2fa9c51adc496a7053d28b4a1a
,,,,,,
"Как-то летом была в парке и сидела на лавочке, ко мне подошёл дедушка лет 80. Мы разговорились, он рассказал, как работал на атомной станции, как воевал. Рассказал, что жена его уже как пять лет умерла, а дети и внуки все разъехались, и живет он совсем один. В конце рассказал своё любимое стихотворение про войну. Мне пора было уже уходить, и мы прощались. Напоследок он сказал, что почти каждый день проводит тут время и будет рад, если я ещё раз с ним поговорю. Уходя, я чуть не плакала.",0,0,0,4,0000c85e32--5eaeb1ff02b98e765db9b06c,e855525fed3ae4e432705e4974c14099
,,,,,,
"У меня дома живут четыре попугая Ара и одна обезьяна. Все они очень агрессивны к чужакам. Залезли ко мне воры, и все бы у них получилось, если бы они не открыли комнату, принадлежащую моему зверинцу. Живность умудрилась загнать неудачников в ванну, где они и просидели до приезда полиции, которую вызвали соседи. Попугаи просто бешено орали человеческими голосами, как и сами воры, которых обезьяна погрызла и которым повыдирала волосы.",4,-4,0,0,0000c85e32--5eaeb1ff6d29ac6d6779dc35,c88f433c97407e26a9c41836af34e51c
,,,,,,
"Оклад 53500 рублей. Тратить в месяц стараюсь не больше 23 тысяч (еда, проезд, курсы французского, коммуналка, изредка одежда, обувь). Остальные деньги я старательно откладываю. И вот сегодня мне пришла очередная зарплата... У меня на карте МИЛЛИОН! Я накопила чёртов МИЛЛИОН! Теперь у меня есть приличный финансовый парашют и гордость за то, что я сама смогла заработать миллион честным трудом, особо не прижимаясь. :)",0,5,5,-3,0000c85e32--5eaeb200a041f41cb6d8b4fb,94406c972ba761238b89451d75e3e97e
,,,,,,
"С матерью моего сына мы сошлись достаточно быстро, она забеременела. Во время родов что-то пошло не так, и врачи предложили кесарево, но она напрочь отказалась, аргументируя тем, что хочет родить натурально, как женщина. Но ей становилось все хуже. Несмотря на мои уговоры принять хирургическую помощь, дело дошло до щипцов, наступило кислородное голодание, и ребенок родился инвалидом. Год жена была в депрессии, пока я ухаживал за ребенком, потом ушла к другому мужчине. Объявилась через пять лет, увидев, что сын действительно неполноценный. Говорит: ""Забирай, не смогу его растить, но только не официально, чтобы у меня пособие по инвалидности на него не пропало"". Послал её, конечно, с таким предложением, забрал ребенка через суд. Ращу его один уже много лет, не опускаю руки, и результаты есть, хоть и небольшие. Мать с тех пор ни разу не видел.  ",-3,2,0,2,0000c85e32--5eaeb201213e6d313b94e98c,b5a245c0c83e06f442283749987e160c
,,,,,,
"Самое жесткое, что я видела в жизни:4-летний сын моей подруги отлипает от ее сиськи, говорит ей спасибо и идет играть в планшет. На вопрос, зачем кормить грудью 20-кг пацаненка, умеющего говорить и с полным набором зубов, она ответила: маленький же......",-5,2,-1,0,0000c85e32--5eaeb201bd782e678a0ff6ea,88d4ae2462e6e7c1ff2ffda67c0169be
,,,,,,
"Для меня счастье - это, спустя 15 лет, вернуться в родную деревню, где еще живут горячо любимые бабушка с дедушкой, оседлать коня и умчаться в степь, где нет проблем, где ты, ветер и свобода. А потом вернуться домой, скушать бабушкиных пирожков и уснуть на ее коленях под колыбельную и тихий храп деда. Как в детстве...",3,3,5,4,0000c85e32--5eaeb202abd1990ac4a15d79,632bacbde3081d7d7df192b59f77ba88
,,,,,,
"Одиночество. Многие девушки боятся его, ноют, что нет парня. Но знаете, что страшнее такого одиночества? Одиночество вдвоём. Когда приходит мужчина домой, молча ест, садится в комп, молча ложимся спать. И если у вас ""одиноких"" есть шанс пойти в бар, встретить там кого-то, да даже пусть и на ночь, то у меня такой надежды нет. Не бойтесь быть одними, бойтесь быть несчастными.   ",0,-3,0,3,0000c85e32--5eaeb2032c9ba96adb5ee38d,a58be2ef0006cbae9cb14355e0e2b079
,,,,,,
"бесит в себе то, что люблю умничать, и всех поучать, причем где не надо, не могу себя остановить! а где надо - язык в жопе!!!",1,1,-3,3,0000c85e32--5eaeb2036d29ac6d6779dc9b,deb7623175d0689c0196321f8719741e
,,,,,,
"Мой прадед в 46-м был председателем колхоза. Голод. Умирают односельчане. Едят всё, что не прибито, а что прибито - отдирают и тащат своим детям. Жуткий мор. У прадеда осталось две полудохлые лошади, все остальные умерли от голода. Он их зарезал и раздал всем своим соратникам. Посадили прадеда за это на 5 лет... растрата гос. имущества...",5,0,0,5,0000c85e32--5eaeb203ad97062fb1f2e0e9,7f52f528fe58d11912794efbc7510206
,,,,,,
"Свалили на отдых в спешке. Отключили электричество в квартире. Вся морозилка была забита мясом. Через месяц возвращаемся. Я до сих пор не знаю, вызывали ли соседи ментов. Запах пздц. Парень заглянул в ящики первым, сказал, что там уже опарыши. Я рыдала в истерике как сука, хотя учусь в меде. Он сам убирался, мой герой.",3,0,0,0,0000c85e32--5eaeb2042c9ba96adb5ee392,25eb424c3972b5d83882d56ade99ee51
,,,,,,
"Сегодня рано вышла из дома - нужно было встретить маму с вокзала, сижу, грею машину, времени 6:00 утра и тут мне в окно стучится кто-то! Как же я была счастлива! Мой любимый мужчина сделал мне сюрприз - приехал ко мне, не виделись с Нового года, живет за 1000 км!!! Стояла минут пять с раскрытым ртом от удивления! Девушка, 20 лет",0,3,5,-5,0000c85e32--5eaeb2045bcbf1425690608d,e59a9b6d0e9d485f453e7241e5f711ba
,,,,,,
"Мой парень всегда говорит о моём безупречном вкусе в одежде, а так же рад, что я не таскаю его с собой по магазинам. А мне просто очень стыдно, что я всегда шарюсь в дешёвых и беру одежду и обувь за большие скидки.",0,0,-3,-3,0000c85e32--5eaeb2048ba97d6d5cad726f,9e002b143c9b5bf42708923d3bba6590
,,,,,,
"Полгода назад мои родители развелись, папа уехал жить в город, а мама осталась в деревне. Так как там печка и двор, я переехала жить к ней, помогала, чем могла, взяла машину в кредит, вожу везде её, где нужно, печку топлю и двор чищу, уголь колю, по дому помогаю, мама мне тоже очень помогает финансово. И вот я познакомилась с парнем, естественно, я вечером уезжаю гулять, а у неё истерика, мол, как я могу оставлять ее одну дома, ей же скучно, что я неблагодарная свинья, которой плевать на мать.",0,1,2,1,0000c85e32--5eaeb204ad97062fb1f2e0f2,459658b4b7c2d8900e47d6733511971c
,,,,,,
"У мужа крайняя плоть такая, что даже учитывая его 19 см, она всегда скрывает головку. Это имеет массу преимуществ.Это эстетично.И практично. Мы не приемлем кондомы,ну а чтобы не забрызгивать все вокруг,он просто зажимает перед критическим моментом член в ""кулек"" из крайней плоти. Потом идет выливает",-1,-2,-2,-4,0000c85e32--5eaeb204ee8f5f1eb5375a0d,19f50622fb9f36b009722023b0a78f4b
,,,,,,
"Осталась одна с маленьким ребенком на руках. в чужой стране. Ни друзей, ни денег, ни работы. сижу и думаю, какая я счастливая, что у меня здоровый ребенок! остальное решаемо",2,1,2,2,0000c85e32--5eaeb2058200d44f274885ee,a7adc9e0a778f1ea4ab5037920ce5ef1
,,,,,,
"Буквально вчера ссорилась с мужем по поводу ремонта, думала о разводе, гуляла с подругой по магазинам и думала, что все плохо... А сегодня у папы рак... 4 стадия....сижу, реву и думаю, какая же ерунда все остальное!!!!!",1,2,0,5,0000c85e32--5eaeb205bd782e678a0ff715,ef18ffda8e35a8eaf168df78b4fb7b47
,,,,,,
"Однажды по пьяни украли коня у цыган. Увели его километров на 5, нашли других цыган и продали им коня за 10 тысяч.",-3,2,2,-2,0000c85e32--5eaeb2060b09457ab57c7892,78608ffa012bcd0a8990b83acf38fa38
,,,,,,
"Вчера готовила борщ. Потратила полтора часа, все по традиции - с мяском, со свежей капусткой. Когда борщ был практически готов и я открыла его помешать - с потолка прямо в кастрюлю прыгнул ТАРАКАН. Я чуть не в слёзы, весь труд насмарку. Потом подумала-подумала и решила таракана выловить и никому ничего не рассказывать. Муж и свекровь уплетали за обе щеки, а я ""на диете"". Немного стремно, но не выливать же было готовое блюдо из-за одного тараканчика!   ",-4,0,0,0,0000c85e32--5eaeb206374b1b71ae02fe10,ad61110d8af34c978c6d6ec02288821d
,,,,,,
"Я всегда хотела, чтоб в моей жизни был только один мужчина во всех планах. Не собиралась разменивается на мимолётные связи, хотя предложений было полно. Сейчас я замужем и муж у меня первый, я у него тоже. И как же хорошо осознавать, что все случилось, как я и хотела, что не была перетрахана десятками парней ради 5 минут сомнительного удовольствия. Приятно знать, что член моего мужа не был в десятке вонючих пезд до меня. Рада, что мы смогли сохранить себя друг для друга. Мы счастливы.",0,0,5,-5,0000c85e32--5eaeb20654ccdd0881cea5ff,b535eda88add6a5a6ff4a94e9487dca0
,,,,,,
"Как-то, когда было мне лет 10, сидела за компом и трескала кукурузные палочки. Пачка была большая и лежала открытой до этого (рядом с клавиатурой) дня три. И от этого некоторые палочки были вкуснее (немного отсырели, казались слаще и мягче), особенно те, что были внизу упаковки среди крошек. Нащупала я вот такую вкусную палочку, откусила, но она оказалась не сладкой и какой-то странно хрустящей. Приглядевшись, я поняла, что это огромная мертвая сороконожка. Оказывается, сороконожки едят кукурузные палочки. А я больше нет...",-5,0,0,0,0000c85e32--5eaeb206bd782e678a0ff71a,5338327613447cfe9000ee2f055ef99d
,,,,,,
"Я обожаю чеснок. Кладу во все блюда (кроме десерта), притом могу вприкуску с хлебом съесть луковицу чеснока. Конечно, потом этот запах, чищу зубы, полоскаю рот, но до конца амбре не убирается. В юности думала, что с этой моей привычкой ни один парень ко мне не подойдет. Но уже 5 лет я замужем за замечательным человеком. С практически полностью отсутствующим обонянием. Узнала я это после свадьбы, Когда напрямую спросила - зачем он лезет ко мне целоваться, как только я чеснока наемся. Моя идеальная половинка.",0,0,0,-5,0000c85e32--5eaeb206e1295a646d0610a3,4f3b07fcc4a292298820585a6ab5b36d
,,,,,,
"Играю в онлайн игры только потому, что во время игры не чувствую себя одинокой.",0,0,0,5,0000c85e32--5eaeb2070b09457ab57c789f,994de777a763de7d866c970051e21bda
,,,,,,
"Лежали с сыном в больнице, ему 4 месяца было. Легли спать, а он капризничать начал, ну и положила спать с собой. Просыпаюсь ночью от толчка в плечо, открываю глаза и понимаю, что во сне от сына отвернулась, поворачиваюсь к нему и понимаю, что он не дышит! Спасибо врачам всё сделали грамотно, но мысль, что пока я спала он мог умереть не даёт покоя почти год и не знаю кому спасибо говорит, ведь что-то разбудило меня.",0,-5,0,0,0000c85e32--5eaeb207ca83b01307164f8b,2ce9a4662b9d7918e9bf7ed41a57632c
,,,,,,
"Я жуткий агрессор. Поэтому слова: ""Не психуй, успокойся!"" — слышу чаще, чем: ""Привет, как дела?""  ",2,3,3,-3,0000c85e32--5eaeb2080b09457ab57c78ab,9eae50ef632436cdd4be5934f8fb7d9e
,,,,,,
"Сейчас очень многие жалуются, что в школах молодых учителей мало. А потому что невозможно работать! Мало того, что заставляют одеваться как бабка, сделали выговор за слишком яркий цвет волос (всего лишь рыжий), про короткие юбки и обтягивающие штаны или джинсы можно забыть! Тату, пирсинг, макияж - все под запретом. Осудили за репосты в соцсети. Старые учителя не воспринимают как равного. И бесит отношение родителей - мол, чему она может научить нас и детей. Бесит! Я училась этому!",5,0,-2,2,0000c85e32--5eaeb2092c9ba96adb5ee3d1,2906855d7c18f796f0592a4e776b6191
,,,,,,
"Вот знаете что я больше всего ненавижу? Когда кровь из вены берут, вернее пытаются взять. И тыкают этой своей иголкой, тыкают, пока рука в мишень для дротиков не превратится! У меня ведь вен не видно, черт побери, бесит!!!",4,0,0,0,0000c85e32--5eaeb20953fcae1d62be4953,9007d978f10c49a88494f6b2c0217a2c
,,,,,,
"Бесит, когда называют мажоркой! В детстве с мамой вдвоём жили очень скромно. Годами сидели на крупах. Помню, тогда я сильно мечтала попробовать Нутеллу. Буквально пару лет назад семейный бизнес пошёл в гору, не без моего участия. Появились деньги на: путешествия, красивую одежду, свою квартиру, на возможность учиться по творческой профессии, не переживая за бедное будущее. Однако из друзей за меня радоваться никто не спешил. После переезда в столицу совсем не осталось друзей... Зато ем Нутеллу.",2,0,3,2,0000c85e32--5eaeb2098ba97d6d5cad72ab,3e58ff9879333efb981f792b2d109bab
,,,,,,
"Бабушка выросла во времена голода, что объясняет ее отношение к еде. Она никогда не выкидывала испортившиеся продукты, у неё не было почти никаких отходов от овощей, мяса; у курицы в еду не шли только что перья, из всего остального она что-то да готовила. Но помнится мне, как она сварила суп, а в нем оказались личинки, которые завелись в макаронах для этого супа. Она ложкой выловила их и, как ни в чем не бывало, разлила суп по тарелкам для себя и внуков.",-1,3,2,1,0000c85e32--5eaeb209bd782e678a0ff73e,c1dd61d856556af042e759bb634a942b
,,,,,,
"Когда мне было 5 лет, мама говорила что нужно есть чеснок ""потому что грипп идет"", я всегда представляла огромный ГРИБ с пятиэтажку, который шагает по городу и забирает непослушных детей. Жутко боялась его! #Подслушано_детство@overhear",0,-3,-1,0,0000c85e32--5eaeb209f105d55e0558cb43,9228c936264972485a309b7362b138fb
,,,,,,
"У меня много родственников по папиной линии. Их было 11 в семье. Так вот, один за другим, они умирают от рака, причем ни у кого из них не было одинакового диагноза (рак желудка, кишечника, почек, груди, кожи и т.д) периодичность 1-2 года, уходят один за другим. Не было несчастных случаев, все умирают с мучениями в своей постели, ожидаемо. Странность в том, что у всех примерно одинаковый возраст, когда ставят этот диагноз. Их уже нет, и у моего старшего брата вчера признали рак. Я знаю, как я умру.",0,4,0,3,0000c85e32--5eaeb209f105d55e0558cb54,45f7d85113bc3b4b17da511f008199af
,,,,,,
"Мой зять до женитьбы считал, что женщины не пукают. Когда беременная жена пустила шептунчика - он был крайне удивлён! Говорит: ""Ты же девочка, а девочки не пукают!""Меня поражает другое - это насколько его мама деликатная женщина, что сын в 20 лет имеет такое убеждение!   ",0,4,-2,0,0000c85e32--5eaeb20a0b09457ab57c78bf,257326f3444f5f0ca3c4bf994cf9b6e9
,,,,,,
"Две недели назад умерла мама на руках у моего младшего брата. Ему 15, он звонил мне и плакал в трубку, а я была в другом городе... первым же рейсом сорвалась туда, но до сих пор сердце разрывается, когда думаю о том, что ему пришлось пережить, и виню себя за то, что меня не было рядом.",0,0,0,5,0000c85e32--5eaeb20b2c9ba96adb5ee3de,97a04cc471eb6fee971dc9b502fa8e5e
,,,,,,
"Всю жизнь мне хотелось быть хотя бы дальней знакомой какого-нибудь знаменитого человека: показывают его по телевизору, а я бы такая: ""а я его знаю!"" И вот, такой шанс мне представился. У сестры в классе был мальчик Витя, плохо учился, из не очень благополучной семьи. Несколько лет назад ему отрезало поездом ногу, и больше ничего о нем не было слышно. А недавно смотрю интервью с паралимпиады - лицо знакомое.. пробила в интернете, это он! Женился весной, спортом занимается! Очень за него рада!   ",0,2,3,-3,0000c85e32--5eaeb20b54ccdd0881cea61a,5ae13df3b9642a42c619ada4c506aae5
